0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,10361
22,8543
23,6679
24,5125
25,3837
26,3068
27,2544
28,2301
29,2123
30,2011
31,2105
32,1997
33,2031
34,2008
35,2056
36,2054
37,2099
38,2256
39,2429
40,2600
41,2768
42,2947
43,3377
44,3365
45,3630
46,3654
47,3863
48,3726
49,3731
50,3708
51,3635
52,3378
53,3111
54,3076
55,2957
56,2774
57,2625
58,2431
59,2380
60,2222
61,2173
62,2103
63,1978
64,2000
65,1899
66,1939
67,1893
68,1915
69,1830
70,1923
71,1925
72,1915
73,1860
74,1808
75,2040
76,2004
77,1959
78,1937
79,1934
80,1991
81,1919
82,2008
83,1987
84,1972
85,1966
86,2025
87,2054
88,2028
89,1983
90,2016
91,2039
92,1981
93,1980
94,1942
95,2004
96,2012
97,2038
98,2051
99,2084
100,2234
101,2199
102,2197
103,2184
104,2193
105,2289
106,2344
107,2385
108,2429
109,2524
110,2500
111,2503
112,2589
113,2732
114,2726
115,2829
116,2956
117,2987
118,2984
119,2977
120,2950
121,3063
122,3061
123,3008
124,3076
125,2989
126,3011
127,2941
128,2923
129,2829
130,2857
131,2892
132,2881
133,2763
134,2753
135,2675
136,2555
137,2609
138,2590
139,2454
140,2551
141,2468
142,2368
143,2522
144,2492
145,2466
146,2392
147,2347
148,2329
149,2376
150,2236
151,2233
152,2293
153,2207
154,2230
155,2027
156,2155
157,2118
158,2108
159,2144
160,2086
161,2072
162,2086
163,1993
164,2079
165,2063
166,2061
167,2054
168,2054
169,2050
170,2029
171,1922
172,2003
173,1929
174,1928
175,1937
176,1914
177,1835
178,1854
179,1919
180,1868
181,1865
182,1871
183,1902
184,1823
185,1871
186,1884
187,1755
188,1883
189,1803
190,1810
191,1782
192,1841
193,1690
194,1714
195,1758
196,1787
197,1789
198,1777
199,1776
200,1678
201,1692
202,1696
203,1746
204,1622
205,1673
206,1706
207,1706
208,1627
209,1599
210,1629
211,1659
212,1654
213,1576
214,1595
215,1612
216,1568
217,1575
218,1525
219,1579
220,1622
221,1541
222,1582
223,1666
224,1602
225,1659
226,1546
227,1528
228,1556
229,1563
230,1552
231,1542
232,1549
233,1549
234,1551
235,1583
236,1584
237,1529
238,1523
239,1550
240,1551
241,1540
242,1509
243,1544
244,1588
245,1537
246,1592
247,1460
248,1521
249,1554
250,1547
251,1542
252,1544
253,1458
254,1446
255,1491
256,1446
257,1458
258,1424
259,1433
260,1426
261,1375
262,1347
263,1333
264,1303
265,1338
266,1301
267,1190
268,1208
269,1220
270,1115
271,1162
272,1150
273,1115
274,1058
275,1145
276,1049
277,993
278,947
279,881
280,889
281,845
282,844
283,854
284,764
285,726
286,713
287,645
288,684
289,627
290,648
291,586
292,559
293,519
294,538
295,512
296,473
297,510
298,463
299,392
300,401
301,364
302,358
303,379
304,346
305,314
306,325
307,293
308,315
309,276
310,259
311,289
312,258
313,208
314,212
315,222
316,204
317,217
318,185
319,195
320,222
321,192
322,178
323,198
324,182
325,157
326,157
327,184
328,173
329,180
330,181
331,186
332,225
333,179
334,212
335,216
336,241
337,239
338,262
339,268
340,318
341,357
342,357
343,349
344,387
345,421
346,496
347,511
348,560
349,594
350,647
351,668
352,766
353,810
354,879
355,950
356,983
357,1095
358,1119
359,1216
360,1371
361,1391
362,1447
363,1581
364,1703
365,1768
366,1901
367,1969
368,2101
369,2169
370,2300
371,2438
372,2542
373,2629
374,2731
375,2888
376,2995
377,3152
378,3247
379,3302
380,3306
381,3468
382,3600
383,3692
384,3767
385,3717
386,3855
387,3765
388,3879
389,3905
390,3938
391,4001
392,3924
393,3976
394,4002
395,3814
396,3843
397,3671
398,3585
399,3651
400,3433
401,3471
402,3439
403,3263
404,3129
405,3042
406,2873
407,2808
408,2580
409,2504
410,2342
411,2241
412,2079
413,1957
414,1868
415,1773
416,1658
417,1578
418,1329
419,1198
420,1145
421,1065
422,966
423,886
424,807
425,786
426,683
427,616
428,520
429,434
430,427
431,407
432,316
433,285
434,274
435,250
436,201
437,151
438,163
439,121
440,113
441,103
442,95
443,66
444,67
445,60
446,41
447,52
448,39
449,21
450,30
451,18
452,24
453,17
